bidding_zone_from,DK_1,SE_4,EE,NO_4,RU,SE_1,SE_3,NO_2,NO_3,NO_5,NL,NO_1,SE_2,FI,DK_2,LT,PL,DE
DK_2,515.0,-728.0,,,,,,,,,,,,,,,,0.0
FI,,,655.0,0.0,-808.0,-577.0,-600.0,,,,,,,,,,,
NO_1,,,,,,,-216.0,527.0,-289.0,-1734.0,,,,,,,,
NO_2,1158.0,,,,,,,,,-571.0,704.0,-527.0,,,,,,
NO_3,,,,-542.0,,,,,,220.0,,289.0,-66.0,,,,,
NO_4,,,,,,0.0,,,542.0,,,,4.0,0.0,,,,
NO_5,,,,,,,,571.0,-220.0,,,1734.0,,,,,,
SE_1,,,,0.0,,,,,,,,,693.0,577.0,,,,
SE_2,,,,-4.0,,-693.0,3414.0,,66.0,,,,,,,,,
SE_3,499.0,2453.0,,,,,,,,,,216.0,-3414.0,600.0,,,,
SE_4,,,,,,,-2453.0,,,,,,,,728.0,466.0,0.0,394.0
